"","vaccine_non","vaccine_partial","vaccine_complete","vaccine_bootser","vaccine_v1_increase","vaccine_v2_increase","vaccine_v3_increase"
"118",1414143,467467,4858140,7312230,1059,1630,3749
"119",1413084,466896,4856021,7315979,1169,1418,3378
"120",1411915,466647,4854061,7319357,1464,1616,3208
"121",1410451,466495,4852469,7322565,1133,1457,3353
"122",1409318,466171,4850573,7325918,912,1303,2326
"123",1408406,465780,4849550,7328244,371,457,883
"124",1408035,465694,4849124,7329127,931,1005,2392
"125",1407104,465620,4847737,7331519,1208,1503,2984
"126",1405896,465325,4846256,7334503,1120,1380,2771
"127",1404776,465065,4844865,7337274,1159,1409,2689
"128",1403617,464815,4843585,7339963,1081,1389,2762
"129",1402536,464507,4842212,7342725,794,1251,2051
"130",1401742,464050,4841412,7344776,409,569,1037
"131",1401333,463890,4840944,7345813,747,997,1944
"132",1400586,463640,4839997,7347757,1168,1357,2466
"133",1399418,463451,4838888,7350223,938,1428,2366
"134",1398480,462961,4837950,7352589,1084,1434,2449
"135",1397396,462611,4836935,7355038,936,1359,2590
"136",1396460,462188,4835704,7357628,594,907,1474
"137",1395866,461875,4835137,7359102,287,470,769
"138",1395579,461692,4834838,7359871,128,165,472
"139",1395451,461655,4834531,7360343,906,1184,2109
"140",1394545,461377,4833606,7362452,825,1106,2057
"141",1393720,461096,4832655,7364509,1052,1314,2277
"142",1392668,460834,4831692,7366786,955,1343,2292
"143",1391713,460446,4830743,7369078,803,1249,1737
"144",1390910,460000,4830255,7370815,343,621,763
"145",1390567,459722,4830113,7371578,887,1101,1796
"146",1389680,459508,4829418,7373374,899,1161,2041
"147",1388781,459246,4828538,7375415,823,1127,1803
"148",1387958,458942,4827862,7377218,941,1297,2031
"149",1387017,458586,4827128,7379249,892,1351,2001
"150",1386125,458127,4826478,7381250,627,1111,1381
"151",1385498,457643,4826208,7382631,265,460,623
